0. camidx = 0, ptidx = 0, projections: x = 1597.07, y = 473.37.
92. camidx = 9, ptidx = 11, projections: x = 583.81, y = 200.65.
93. camidx = 10, ptidx = 11, projections: x = 402.44, y = -396.15.
94. camidx = 12, ptidx = 11, projections: x = -151.64, y = -522.56.
95. camidx = 17, ptidx = 11, projections: x = -770.63, y = 423.22.
96. camidx = 18, ptidx = 11, projections: x = 88.11, y = -3.48999.
97. camidx = 20, ptidx = 11, projections: x = 82.35, y = -198.28.
98. camidx = 0, ptidx = 12, projections: x = 546.97, y = 175.05.
99. camidx = 1, ptidx = 12, projections: x = -945.42, y = 170.33.
100. camidx = 2, ptidx = 12, projections: x = -293.16, y = 80.88.
101. camidx = 3, ptidx = 12, projections: x = -924.92, y = 297.69.
102. camidx = 4, ptidx = 12, projections: x = 882.25, y = 313.06.
103. camidx = 5, ptidx = 12, projections: x = 442.59, y = 688.69.
104. camidx = 6, ptidx = 12, projections: x = -543.61, y = 109.56.
105. camidx = 9, ptidx = 12, projections: x = -327.27, y = 199.94.
106. camidx = 10, ptidx = 12, projections: x = -247.29, y = -396.19.
107. camidx = 11, ptidx = 12, projections: x = 322.79, y = 138.29.
108. camidx = 12, ptidx = 12, projections: x = -873.05, y = -510.08.
109. camidx = 0, ptidx = 13, projections: x = 1593.74, y = 177.69.
110. camidx = 1, ptidx = 13, projections: x = 1026.04, y = 107.8.
111. camidx = 6, ptidx = 13, projections: x = 877.49, y = 35.27.
112. camidx = 8, ptidx = 13, projections: x = 857.15, y = 211.95.
113. camidx = 12, ptidx = 13, projections: x = -209.19, y = -523.18.
114. camidx = 17, ptidx = 13, projections: x = -920, y = 422.26.
115. camidx = 0, ptidx = 14, projections: x = 1491.96, y = 251.04.
116. camidx = 1, ptidx = 14, projections: x = 752.66, y = 219.2.
117. camidx = 2, ptidx = 14, projections: x = 617.01, y = 157.56.
118. camidx = 6, ptidx = 14, projections: x = 705.01, y = 114.28.
119. camidx = 12, ptidx = 14, projections: x = -283.29, y = -459.62.
120. camidx = 16, ptidx = 14, projections: x = 925.95, y = 393.3.
121. camidx = 17, ptidx = 14, projections: x = -1182.13, y = 572.31.
122. camidx = 0, ptidx = 15, projections: x = 1592.22, y = 486.9.
123. camidx = 1, ptidx = 15, projections: x = 715.41, y = 545.22.
124. camidx = 3, ptidx = 15, projections: x = 610.62, y = 635.62.
125. camidx = 6, ptidx = 15, projections: x = 743.65, y = 335.98.
126. camidx = 16, ptidx = 15, projections: x = 981.56, y = 546.73.
127. camidx = 0, ptidx = 16, projections: x = 1592.22, y = 486.9.
128. camidx = 1, ptidx = 16, projections: x = 715.41, y = 545.22.
129. camidx = 2, ptidx = 16, projections: x = 572.76, y = 447.23.
130. camidx = 3, ptidx = 16, projections: x = 610.62, y = 635.62.
131. camidx = 6, ptidx = 16, projections: x = 743.65, y = 335.98.
132. camidx = 7, ptidx = 16, projections: x = 886.91, y = 574.91.
133. camidx = 12, ptidx = 16, projections: x = -255.83, y = -263.47.
134. camidx = 16, ptidx = 16, projections: x = 981.56, y = 546.73.
135. camidx = 17, ptidx = 16, projections: x = -1291.75, y = 1028.63.
136. camidx = 0, ptidx = 17, projections: x = 463.97, y = 458.22.
137. camidx = 1, ptidx = 17, projections: x = -1101.98, y = 791.15.
138. camidx = 2, ptidx = 17, projections: x = -366.84, y = 424.65.
139. camidx = 4, ptidx = 17, projections: x = 836.62, y = 471.73.
140. camidx = 5, ptidx = 17, projections: x = 350.62, y = 890.13.
141. camidx = 7, ptidx = 17, projections: x = 187.03, y = 531.76.
142. camidx = 8, ptidx = 17, projections: x = -867.8, y = 690.61.
143. camidx = 9, ptidx = 17, projections: x = -388.61, y = 458.6.
144. camidx = 11, ptidx = 17, projections: x = 265.96, y = 388.84.
145. camidx = 18, ptidx = 17, projections: x = -513.26, y = 168.42.
146. camidx = 20, ptidx = 17, projections: x = -435.29, y = -51.4.
147. camidx = 0, ptidx = 18, projections: x = 1101.11, y = 296.62.
148. camidx = 1, ptidx = 18, projections: x = -206.89, y = 213.37.
149. camidx = 4, ptidx = 18, projections: x = 1288.59, y = 448.65.
150. camidx = 5, ptidx = 18, projections: x = 953.79, y = 905.57.
151. camidx = 6, ptidx = 18, projections: x = 150.08, y = 98.69.
152. camidx = 8, ptidx = 18, projections: x = 247.73, y = 363.57.
153. camidx = 13, ptidx = 18, projections: x = -1198.57, y = 1023.26.
154. camidx = 16, ptidx = 18, projections: x = 678.03, y = 458.88.
155. camidx = 0, ptidx = 19, projections: x = 1101.11, y = 296.62.
156. camidx = 1, ptidx = 19, projections: x = -206.89, y = 213.37.
157. camidx = 4, ptidx = 19, projections: x = 1288.59, y = 448.65.
158. camidx = 5, ptidx = 19, projections: x = 953.79, y = 905.57.
159. camidx = 8, ptidx = 19, projections: x = 247.73, y = 363.57.
160. camidx = 11, ptidx = 19, projections: x = 431.77, y = 374.5.
161. camidx = 16, ptidx = 19, projections: x = 678.03, y = 458.88.
162. camidx = 0, ptidx = 20, projections: x = 1123.84, y = 172.86.
163. camidx = 1, ptidx = 20, projections: x = -164.29, y = 17.92.
164. camidx = 4, ptidx = 20, projections: x = 1298.78, y = 362.65.
165. camidx = 8, ptidx = 20, projections: x = 276.12, y = 182.04.
166. camidx = 0, ptidx = 21, projections: x = 1155.68, y = 149.72.
167. camidx = 1, ptidx = 21, projections: x = -116.55, y = -22.56.
168. camidx = 4, ptidx = 21, projections: x = 1320.77, y = 347.04.
169. camidx = 6, ptidx = 21, projections: x = 203.23, y = -62.93.
170. camidx = 8, ptidx = 21, projections: x = 321.37, y = 146.48.
171. camidx = 9, ptidx = 21, projections: x = -115.82, y = 285.44.
172. camidx = 10, ptidx = 21, projections: x = -68.78, y = -369.95.
173. camidx = 12, ptidx = 21, projections: x = -632.9, y = -447.67.
174. camidx = 13, ptidx = 21, projections: x = -1005.33, y = 532.6.
175. camidx = 16, ptidx = 21, projections: x = 712.92, y = 367.28.
176. camidx = 0, ptidx = 22, projections: x = 1132.12, y = 168.67.
177. camidx = 1, ptidx = 22, projections: x = -152.25, y = 10.79.
178. camidx = 4, ptidx = 22, projections: x = 1304.23, y = 359.56.
179. camidx = 5, ptidx = 22, projections: x = 986.17, y = 797.61.
180. camidx = 6, ptidx = 22, projections: x = 178.85, y = -39.32.
181. camidx = 8, ptidx = 22, projections: x = 288, y = 175.86.
182. camidx = 12, ptidx = 22, projections: x = -651.43, y = -431.29.
183. camidx = 0, ptidx = 23, projections: x = 1100.68, y = 305.93.
184. camidx = 1, ptidx = 23, projections: x = -207.25, y = 227.71.
185. camidx = 4, ptidx = 23, projections: x = 1288.47, y = 454.68.
186. camidx = 5, ptidx = 23, projections: x = 952.32, y = 914.14.
187. camidx = 6, ptidx = 23, projections: x = 150.26, y = 108.68.
188. camidx = 8, ptidx = 23, projections: x = 247.42, y = 377.12.
189. camidx = 9, ptidx = 23, projections: x = -184.16, y = 456.99.
190. camidx = 11, ptidx = 23, projections: x = 431.57, y = 384.48.
191. camidx = 13, ptidx = 23, projections: x = -1198.44, y = 1052.4.
192. camidx = 16, ptidx = 23, projections: x = 678.19, y = 464.24.
193. camidx = 20, ptidx = 23, projections: x = -316.56, y = -60.17.
194. camidx = 0, ptidx = 24, projections: x = 1648.78, y = 490.23.
195. camidx = 1, ptidx = 24, projections: x = 797.96, y = 544.76.
196. camidx = 2, ptidx = 24, projections: x = 627.69, y = 447.16.
197. camidx = 3, ptidx = 24, projections: x = 691.1, y = 633.13.
198. camidx = 12, ptidx = 24, projections: x = -221.37, y = -264.72.
199. camidx = 17, ptidx = 24, projections: x = -1205.76, y = 1023.61.
200. camidx = 0, ptidx = 25, projections: x = 854.39, y = 160.32.
201. camidx = 1, ptidx = 25, projections: x = -432.1, y = 70.02.
202. camidx = 4, ptidx = 25, projections: x = 1076.26, y = 320.88.
203. camidx = 5, ptidx = 25, projections: x = 698.92, y = 727.21.
204. camidx = 6, ptidx = 25, projections: x = -112.09, y = 19.69.
205. camidx = 7, ptidx = 25, projections: x = 394.03, y = 336.76.
206. camidx = 9, ptidx = 25, projections: x = -181.95, y = 225.45.
207. camidx = 10, ptidx = 25, projections: x = -134.12, y = -392.07.
208. camidx = 12, ptidx = 25, projections: x = -732.61, y = -493.71.
209. camidx = 13, ptidx = 25, projections: x = -1286.68, y = 471.89.
210. camidx = 20, ptidx = 25, projections: x = -323.9, y = -178.94.
211. camidx = 0, ptidx = 26, projections: x = 819.21, y = 181.63.
212. camidx = 1, ptidx = 26, projections: x = -482.59, y = 115.7.
213. camidx = 3, ptidx = 26, projections: x = -528.48, y = 220.14.
214. camidx = 4, ptidx = 26, projections: x = 1053.4, y = 332.38.
215. camidx = 5, ptidx = 26, projections: x = 666.15, y = 738.27.
216. camidx = 6, ptidx = 26, projections: x = -154.34, y = 53.32.
217. camidx = 7, ptidx = 26, projections: x = 376.26, y = 351.43.
218. camidx = 0, ptidx = 27, projections: x = 786.4, y = 10.25.
219. camidx = 1, ptidx = 27, projections: x = -534.69, y = -202.27.
220. camidx = 6, ptidx = 27, projections: x = -210.38, y = -164.49.
221. camidx = 7, ptidx = 27, projections: x = 360.56, y = 223.15.
222. camidx = 10, ptidx = 27, projections: x = -154.97, y = -492.54.
223. camidx = 11, ptidx = 27, projections: x = 429.75, y = 18.59.
224. camidx = 13, ptidx = 27, projections: x = -1390.04, y = 21.98.
225. camidx = 18, ptidx = 27, projections: x = -402.9, y = -70.43.
226. camidx = 0, ptidx = 28, projections: x = 800.01, y = 21.9301.
227. camidx = 1, ptidx = 28, projections: x = -512.02, y = -187.83.
228. camidx = 4, ptidx = 28, projections: x = 1037.97, y = 236.44.
229. camidx = 0, ptidx = 29, projections: x = 814.44, y = 123.01.
230. camidx = 1, ptidx = 29, projections: x = -488.37, y = 8.15002.
231. camidx = 4, ptidx = 29, projections: x = 1048.43, y = 296.45.
232. camidx = 5, ptidx = 29, projections: x = 665.67, y = 691.24.
233. camidx = 6, ptidx = 29, projections: x = -168.13, y = -17.42.
234. camidx = 7, ptidx = 29, projections: x = 376.15, y = 305.06.
235. camidx = 9, ptidx = 29, projections: x = -193.01, y = 183.15.
236. camidx = 11, ptidx = 29, projections: x = 444.5, y = 120.78.
237. camidx = 13, ptidx = 29, projections: x = -1327.88, y = 350.43.
238. camidx = 18, ptidx = 29, projections: x = -391.6, y = -4.54004.
239. camidx = 0, ptidx = 30, projections: x = 877.66, y = 164.87.
240. camidx = 1, ptidx = 30, projections: x = -402.41, y = 66.6599.
241. camidx = 3, ptidx = 30, projections: x = -468.06, y = 168.49.
242. camidx = 4, ptidx = 30, projections: x = 1093.54, y = 327.73.
243. camidx = 5, ptidx = 30, projections: x = 719.56, y = 736.89.
244. camidx = 7, ptidx = 30, projections: x = 403.03, y = 337.72.
245. camidx = 8, ptidx = 30, projections: x = -154.03, y = 192.28.
246. camidx = 0, ptidx = 31, projections: x = 694.79, y = 234.52.
247. camidx = 1, ptidx = 31, projections: x = -673.12, y = 253.18.
248. camidx = 2, ptidx = 31, projections: x = -211.5, y = 162.26.
249. camidx = 3, ptidx = 31, projections: x = -687, y = 374.06.
250. camidx = 4, ptidx = 31, projections: x = 972.64, y = 354.92.
251. camidx = 5, ptidx = 31, projections: x = 556.31, y = 757.09.
252. camidx = 6, ptidx = 31, projections: x = -317.84, y = 156.37.
253. camidx = 7, ptidx = 31, projections: x = 313.45, y = 379.97.
254. camidx = 9, ptidx = 31, projections: x = -255.61, y = 271.39.
255. camidx = 12, ptidx = 31, projections: x = -803.66, y = -455.4.
256. camidx = 13, ptidx = 31, projections: x = -1536.95, y = 669.82.
257. camidx = 18, ptidx = 31, projections: x = -429.64, y = 51.96.
258. camidx = 0, ptidx = 32, projections: x = 694.79, y = 234.52.
259. camidx = 1, ptidx = 32, projections: x = -673.12, y = 253.18.
260. camidx = 2, ptidx = 32, projections: x = -211.5, y = 162.26.
261. camidx = 3, ptidx = 32, projections: x = -687, y = 374.06.
262. camidx = 4, ptidx = 32, projections: x = 972.64, y = 354.92.
263. camidx = 5, ptidx = 32, projections: x = 556.31, y = 757.09.
264. camidx = 6, ptidx = 32, projections: x = -317.84, y = 156.37.
265. camidx = 7, ptidx = 32, projections: x = 313.45, y = 379.97.
266. camidx = 9, ptidx = 32, projections: x = -255.61, y = 271.39.
267. camidx = 12, ptidx = 32, projections: x = -803.66, y = -455.4.
268. camidx = 13, ptidx = 32, projections: x = -1536.95, y = 669.82.
269. camidx = 18, ptidx = 32, projections: x = -429.64, y = 51.96.
270. camidx = 0, ptidx = 33, projections: x = 834.04, y = 105.1.
271. camidx = 1, ptidx = 33, projections: x = -464.93, y = -29.45.
272. camidx = 4, ptidx = 33, projections: x = 1062.99, y = 287.41.
273. camidx = 5, ptidx = 33, projections: x = 687.36, y = 681.28.
274. camidx = 6, ptidx = 33, projections: x = -140.24, y = -47.41.
275. camidx = 7, ptidx = 33, projections: x = 381.85, y = 294.45.
276. camidx = 10, ptidx = 33, projections: x = -142.5, y = -427.92.
277. camidx = 11, ptidx = 33, projections: x = 440.85, y = 109.37.
278. camidx = 12, ptidx = 33, projections: x = -745.82, y = -536.05.
279. camidx = 13, ptidx = 33, projections: x = -1332.63, y = 308.81.
280. camidx = 20, ptidx = 33, projections: x = -332.68, y = -207.64.
281. camidx = 0, ptidx = 34, projections: x = 770.48, y = 119.27.
282. camidx = 1, ptidx = 34, projections: x = -554.32, y = 10.84.
283. camidx = 2, ptidx = 34, projections: x = -165.76, y = 29.54.
284. camidx = 3, ptidx = 34, projections: x = -580.28, y = 112.61.
285. camidx = 6, ptidx = 34, projections: x = -223.05, y = -15.19.
286. camidx = 7, ptidx = 34, projections: x = 353.68, y = 300.4.
287. camidx = 9, ptidx = 34, projections: x = -214.86, y = 173.86.
288. camidx = 10, ptidx = 34, projections: x = -159.63, y = -422.67.
289. camidx = 11, ptidx = 34, projections: x = 424.67, y = 112.53.
290. camidx = 12, ptidx = 34, projections: x = -767.95, y = -532.41.
291. camidx = 18, ptidx = 34, projections: x = -405.66, y = -9.58997.
292. camidx = 20, ptidx = 34, projections: x = -343.11, y = -206.12.
293. camidx = 0, ptidx = 35, projections: x = 899.49, y = 108.85.
294. camidx = 1, ptidx = 35, projections: x = -369.4, y = -34.1801.
295. camidx = 2, ptidx = 35, projections: x = -116.27, y = 27.21.
296. camidx = 3, ptidx = 35, projections: x = -444.34, y = 59.96.
297. camidx = 4, ptidx = 35, projections: x = 1103.02, y = 292.45.
298. camidx = 5, ptidx = 35, projections: x = 744.1, y = 694.85.
299. camidx = 8, ptidx = 35, projections: x = -119.57, y = 102.3.
300. camidx = 9, ptidx = 35, projections: x = -161.74, y = 181.44.
301. camidx = 11, ptidx = 35, projections: x = 469.41, y = 119.64.
302. camidx = 12, ptidx = 35, projections: x = -715.39, y = -527.39.
303. camidx = 13, ptidx = 35, projections: x = -1215.74, y = 321.82.
304. camidx = 18, ptidx = 35, projections: x = -369.9, y = -5.34998.
305. camidx = 20, ptidx = 35, projections: x = -313.46, y = -202.23.
306. camidx = 0, ptidx = 36, projections: x = 874.98, y = 111.48.
307. camidx = 1, ptidx = 36, projections: x = -406.85, y = -24.76.
308. camidx = 4, ptidx = 36, projections: x = 1089.14, y = 293.67.
309. camidx = 0, ptidx = 37, projections: x = 885.77, y = 216.36.
310. camidx = 1, ptidx = 37, projections: x = -392.99, y = 167.45.
311. camidx = 3, ptidx = 37, projections: x = -468.31, y = 270.24.
312. camidx = 4, ptidx = 37, projections: x = 1101.02, y = 357.96.
313. camidx = 5, ptidx = 37, projections: x = 723.59, y = 777.42.
314. camidx = 7, ptidx = 37, projections: x = 406.03, y = 381.62.
315. camidx = 8, ptidx = 37, projections: x = -137.32, y = 268.66.
316. camidx = 13, ptidx = 37, projections: x = -1256.93, y = 655.33.
317. camidx = 18, ptidx = 37, projections: x = -378.19, y = 58.8.
318. camidx = 20, ptidx = 37, projections: x = -319.95, y = -146.96.
319. camidx = 0, ptidx = 38, projections: x = 660.35, y = 241.42.
320. camidx = 1, ptidx = 38, projections: x = -732.39, y = 277.67.
321. camidx = 2, ptidx = 38, projections: x = -224.26, y = 166.45.
322. camidx = 3, ptidx = 38, projections: x = -736.13, y = 402.19.
323. camidx = 4, ptidx = 38, projections: x = 951.29, y = 356.5.
324. camidx = 5, ptidx = 38, projections: x = 525.95, y = 755.7.
325. camidx = 6, ptidx = 38, projections: x = -366.98, y = 174.85.
326. camidx = 7, ptidx = 38, projections: x = 296.96, y = 382.9.
327. camidx = 9, ptidx = 38, projections: x = -269.78, y = 273.14.
328. camidx = 10, ptidx = 38, projections: x = -201.36, y = -348.72.
329. camidx = 11, ptidx = 38, projections: x = 376.52, y = 208.94.
330. camidx = 12, ptidx = 38, projections: x = -816.97, y = -453.54.
331. camidx = 13, ptidx = 38, projections: x = -1588.93, y = 684.36.
332. camidx = 18, ptidx = 38, projections: x = -439.83, y = 53.49.
333. camidx = 20, ptidx = 38, projections: x = -372.5, y = -152.29.
334. camidx = 0, ptidx = 39, projections: x = 977.97, y = 219.63.
335. camidx = 1, ptidx = 39, projections: x = -278.56, y = 139.57.
336. camidx = 4, ptidx = 39, projections: x = 1171.04, y = 371.18.
337. camidx = 5, ptidx = 39, projections: x = 811.3, y = 801.71.
338. camidx = 8, ptidx = 39, projections: x = 21.74, y = 268.56.
339. camidx = 16, ptidx = 39, projections: x = 628.39, y = 390.28.
340. camidx = 0, ptidx = 40, projections: x = 749.32, y = 255.02.
341. camidx = 1, ptidx = 40, projections: x = -584.32, y = 279.91.
342. camidx = 2, ptidx = 40, projections: x = -181.84, y = 189.16.
343. camidx = 4, ptidx = 40, projections: x = 1008.85, y = 369.98.
344. camidx = 5, ptidx = 40, projections: x = 598.93, y = 782.18.
345. camidx = 6, ptidx = 40, projections: x = -239.81, y = 172.21.
346. camidx = 7, ptidx = 40, projections: x = 341.46, y = 397.32.
347. camidx = 10, ptidx = 40, projections: x = -170.03, y = -335.69.
348. camidx = 11, ptidx = 40, projections: x = 411.18, y = 230.32.
349. camidx = 12, ptidx = 40, projections: x = -778.18, y = -436.33.
350. camidx = 13, ptidx = 40, projections: x = -1445.9, y = 736.33.
351. camidx = 20, ptidx = 40, projections: x = -348.98, y = -140.83.
352. camidx = 0, ptidx = 41, projections: x = 1150.2, y = 203.22.
353. camidx = 1, ptidx = 41, projections: x = -125.03, y = 66.76.
354. camidx = 3, ptidx = 41, projections: x = -318.87, y = 142.78.
355. camidx = 6, ptidx = 41, projections: x = 199.25, y = -1.83002.
356. camidx = 8, ptidx = 41, projections: x = 315.27, y = 228.18.
357. camidx = 9, ptidx = 41, projections: x = -125.59, y = 338.8.
358. camidx = 11, ptidx = 41, projections: x = 491.58, y = 274.25.
359. camidx = 13, ptidx = 41, projections: x = -1024.78, y = 705.96.
360. camidx = 0, ptidx = 42, projections: x = 640.53, y = 72.18.
361. camidx = 1, ptidx = 42, projections: x = -773.62, y = -62.22.
362. camidx = 2, ptidx = 42, projections: x = -232.76, y = -35.56.
363. camidx = 4, ptidx = 42, projections: x = 937.2, y = 258.6.
364. camidx = 5, ptidx = 42, projections: x = 526.78, y = 625.61.
365. camidx = 6, ptidx = 42, projections: x = -406.63, y = -56.11.
366. camidx = 7, ptidx = 42, projections: x = 286.91, y = 259.68.
367. camidx = 10, ptidx = 42, projections: x = -207.75, y = -459.41.
368. camidx = 11, ptidx = 42, projections: x = 370.34, y = 57.16.
369. camidx = 13, ptidx = 42, projections: x = -1626.73, y = 181.61.
370. camidx = 18, ptidx = 42, projections: x = -445.6, y = -44.8.
371. camidx = 0, ptidx = 43, projections: x = 886.12, y = 120.43.
372. camidx = 1, ptidx = 43, projections: x = -392.67, y = -10.97.
373. camidx = 3, ptidx = 43, projections: x = -464.7, y = 88.34.
374. camidx = 4, ptidx = 43, projections: x = 1099.27, y = 301.07.
375. camidx = 5, ptidx = 43, projections: x = 732.71, y = 702.84.
376. camidx = 7, ptidx = 43, projections: x = 406.84, y = 308.4.
377. camidx = 8, ptidx = 43, projections: x = -138.18, y = 121.48.
378. camidx = 9, ptidx = 43, projections: x = -175.25, y = 191.7.
379. camidx = 11, ptidx = 43, projections: x = 457.77, y = 129.21.
380. camidx = 13, ptidx = 43, projections: x = -1257.03, y = 359.46.
381. camidx = 18, ptidx = 43, projections: x = -378.55, y = 1.17004.
382. camidx = 0, ptidx = 44, projections: x = 902.07, y = 158.02.
383. camidx = 1, ptidx = 44, projections: x = -367.32, y = 55.1899.
384. camidx = 2, ptidx = 44, projections: x = -118.36, y = 87.84.
385. camidx = 3, ptidx = 44, projections: x = -442.05, y = 152.52.
386. camidx = 4, ptidx = 44, projections: x = 1110.16, y = 323.68.
387. camidx = 5, ptidx = 44, projections: x = 742.87, y = 734.5.
388. camidx = 6, ptidx = 44, projections: x = -54.89, y = 7.16998.
389. camidx = 7, ptidx = 44, projections: x = 416.31, y = 337.79.
390. camidx = 8, ptidx = 44, projections: x = -112.23, y = 178.58.
391. camidx = 9, ptidx = 44, projections: x = -165.6, y = 229.74.
392. camidx = 10, ptidx = 44, projections: x = -118.73, y = -389.22.
393. camidx = 12, ptidx = 44, projections: x = -713.71, y = -489.58.
394. camidx = 13, ptidx = 44, projections: x = -1221.68, y = 476.48.
395. camidx = 18, ptidx = 44, projections: x = -371.37, y = 24.6801.
